Number,Structure,Abbreviation,voxcount,volume,x,y,z,,,,,,,volume,x_caudaL_rostral,y_Right_left,z_infgerior_superior,volume_voxels,volume_mm3
68,_67_Bed_Nucleus_of_the_Stria_Terminalis,BNst_R,6455,0.512102946,5.9384689,10.7548,4.5425758,67,0,0,67,67,432485,0.256051473,250.1,120.66,106.44,3669,0.29171
69,_68_Ventral_Pallidum,Vpal_L,19736,1.565741864,5.9699039,10.764091,3.4358001,68,0,0,68,68,1342048,0.782870932,249.13,185.52,80.816,10303,0.81916
69,_68_Ventral_Pallidum,Vpal_R,19736,1.565741864,5.9699039,10.764091,3.4358001,68,0,0,68,68,1342048,0.782870932,249.13,99.48,80.816,10303,0.81916
70,_69_Periaquaductal_Grey,PAG_L,57006,4.522531452,6.1155772,6.2278423,5.9523845,69,0,0,69,69,3933414,2.261265726,145.15,151.52,139.54,27217,2.1639
70,_69_Periaquaductal_Grey,PAG_R,57006,4.522531452,6.1155772,6.2278423,5.9523845,69,0,0,69,69,3933414,2.261265726,145.15,133.48,139.54,27217,2.1639
71,_70_Anterior_Pretectal_Nucleus,APT_L,9808,0.778110874,6.0592947,7.9309063,5.840981,70,0,0,70,70,686560,0.389055437,184.54,171.18,136.83,4976,0.39563
71,_70_Anterior_Pretectal_Nucleus,APT_R,9808,0.778110874,6.0592947,7.9309063,5.840981,70,0,0,70,70,686560,0.389055437,184.54,113.82,136.83,4976,0.39563
72,_71_Ventral_Tegmental_Area,VTA_L,4380,0.347484261,6.1535592,7.5119452,3.7967236,71,0,0,71,71,310980,0.173742131,174.14,160.4,89.065,2077,0.16514
72,_71_Ventral_Tegmental_Area,VTA_R,4380,0.347484261,6.1535592,7.5119452,3.7967236,71,0,0,71,71,310980,0.173742131,174.14,124.6,89.065,2077,0.16514
73,_72_Thalamus_Rest,ThalRest_L,139213,11.04436675,6.1059675,9.1712866,4.923059,72,0,0,72,72,10023336,5.522183375,213.15,157.51,115.67,67875,5.3965
73,_72_Thalamus_Rest,ThalRest_R,139213,11.04436675,6.1059675,9.1712866,4.923059,72,0,0,72,72,10023336,5.522183375,213.15,127.49,115.67,67875,5.3965
74,_73_Ventral_Thalamic_Nuclei,VT_L,51406,4.078259338,6.1061935,8.8992281,5.1679716,73,0,0,73,73,3752638,2.039129669,206.67,179.42,120.82,25738,2.0464
74,_73_Ventral_Thalamic_Nuclei,VT_R,51406,4.078259338,6.1061935,8.8992281,5.1679716,73,0,0,73,73,3752638,2.039129669,206.67,105.58,120.82,25738,2.0464
75,_74_Latero_Dorsal_Nucleus_of_Thalamus,LDNT_L,6236,0.494728733,6.1079512,9.4421692,5.9754515,74,0,0,74,74,461464,0.247364367,219.99,172.56,139.8,3098,0.24631
75,_74_Latero_Dorsal_Nucleus_of_Thalamus,LDNT_R,6236,0.494728733,6.1079512,9.4421692,5.9754515,74,0,0,74,74,461464,0.247364367,219.99,112.44,139.8,3098,0.24631
